shmmitzrach,english_name,food_energy,rephrased_english,rephrased_hebrew
"קציצות בשר הודו ועוף, מבושלות ברוטב עגבניות ורסק ללא שמן","Chicken and turkey, patties, fried in tomato sauce(from fresh and paste) and oil",125,"Food item: Chicken and turkey, patties, fried in tomato sauce(from fresh and paste) and oil","מזון: קציצות בשר הודו ועוף, מבושלות ברוטב עגבניות ורסק ללא שמן"
"קציצות בשר עוף, מבושלות, ללא רוטב","Chicken, patties, cooked, without sauce",154,"Food item: Chicken, patties, cooked, without sauce","מזון: קציצות בשר עוף, מבושלות, ללא רוטב"
"קציצות בשר עוף, מטוגנות, ללא שמן","Chicken, patties, fried,fat not added",154,"Food item: Chicken, patties, fried,fat not added","מזון: קציצות בשר עוף, מטוגנות, ללא שמן"
"בשר עוף, שיפודי פרגיות עם בצל ושמן סויה","Chicken, pullet, kabobs with onion, with soy oil",233,"Food item: Chicken, pullet, kabobs with onion, with soy oil","מזון: בשר עוף, שיפודי פרגיות עם בצל ושמן סויה"
"בשר עוף, שיפודי פרגיות עם שמן סויה","Chicken, pullet, kabobs, with soy oil",261,"Food item: Chicken, pullet, kabobs, with soy oil","מזון: בשר עוף, שיפודי פרגיות עם שמן סויה"
"בשר עוף, חזה, במילוי בשר, עוף העמק","Chicken, breast, stuffed with meat, Of Haemek",154,"Food item: Chicken, breast, stuffed with meat, Of Haemek","מזון: בשר עוף, חזה, במילוי בשר, עוף העמק"
"בשר עוף, חזה, מבושל עם בצל מטוגן בשמן סויה ועגבניות","Chicken, breast, cooked with soy-fried onion and tomatoes",123,"Food item: Chicken, breast, cooked with soy-fried onion and tomatoes","מזון: בשר עוף, חזה, מבושל עם בצל מטוגן בשמן סויה ועגבניות"
"בשר עוף, מבושל עם בצל מטוגן בשמן קנולה, עגבניה וגמבה","Chicken, cooked with canola-fried onion, tomato and red peppers",180,"Food item: Chicken, cooked with canola-fried onion, tomato and red peppers","מזון: בשר עוף, מבושל עם בצל מטוגן בשמן קנולה, עגבניה וגמבה"
"בשר עוף, מבושל ביין ודבש, ללא תוספת שומן בבישול","Chicken, cooked in wine and honey, fat not added",218,"Food item: Chicken, cooked in wine and honey, fat not added","מזון: בשר עוף, מבושל ביין ודבש, ללא תוספת שומן בבישול"
"אליצ'ה עוף אתיופי, עם שמן קנולה","Chicken, Alich'a, with canola oil,  Ethiopian dish",176,"Food item: Chicken, Alich'a, with canola oil,  Ethiopian dish","מזון: אליצ'ה עוף אתיופי, עם שמן קנולה"
"בשר עוף, חזה, אפוי עם ירקות, קטשופ ושמן סויה","Chicken, breast, baked with vegetables, ketchup, and soy oil",124,"Food item: Chicken, breast, baked with vegetables, ketchup, and soy oil","מזון: בשר עוף, חזה, אפוי עם ירקות, קטשופ ושמן סויה"
"בשר עוף, ממולא, אורז ועשבי תיבול ושמן סויה","Chicken, stuffed with rice, herbs and soy oil",195,"Food item: Chicken, stuffed with rice, herbs and soy oil","מזון: בשר עוף, ממולא, אורז ועשבי תיבול ושמן סויה"
"בשר עוף, מבושל עם גזר כרוב סלרי ושמן קנולה","Chicken, cooked with carrots, cabbage, celery and canola oil",167,"Food item: Chicken, cooked with carrots, cabbage, celery and canola oil","מזון: בשר עוף, מבושל עם גזר כרוב סלרי ושמן קנולה"
"דג סרדין, ברוטב עגבניות","Fish, sardines with tomato-based sauce ",185,"Food item: Fish, sardines with tomato-based sauce","מזון: דג סרדין, ברוטב עגבניות"
"קציצות בשר בקר, מבושלות ברוטב עגבניות, שגב ","Beef, patties, cooked in sauce, Segev",122,"Food item: Beef, patties, cooked in sauce, Segev","מזון: קציצות בשר בקר, מבושלות ברוטב עגבניות, שגב"
"קבב מזרחי ברוטב בצל, שופרסל","Kabob, Mizrachi, in onion sauce, Shufersal",175,"Food item: Kabob, Mizrachi, in onion sauce, Shufersal","מזון: קבב מזרחי ברוטב בצל, שופרסל"
"קציצות בשר בקר, ותפוחי אדמה מטוגנות, ללא שמן","Beef, patties, with potatoes, fried without oil",153,"Food item: Beef, patties, with potatoes, fried without oil","מזון: קציצות בשר בקר, ותפוחי אדמה מטוגנות, ללא שמן"
"קציצות בשר בקר והודו, אפויות, ללא שמן","Beef and turkey patties, baked  wihout oil",147,"Food item: Beef and turkey patties, baked  wihout oil","מזון: קציצות בשר בקר והודו, אפויות, ללא שמן"
"קציצות בשר בקר, אפויות, עם תפו""א, ללא תוספת שמן","Beef and potato patties,baked, fat not added",135,"Food item: Beef and potato patties,baked, fat not added","מזון: קציצות בשר בקר, אפויות, עם תפו""א, ללא תוספת שמן"
"קציצות בשר בקר, אפויות, ללא שמן","Beef, patties (meatballs), baked, fat not added",173,"Food item: Beef, patties (meatballs), baked, fat not added","מזון: קציצות בשר בקר, אפויות, ללא שמן"
"קציצות בשר בקר, מטוגנות, ללא שמן","Beef, patties (meatballs) fried, fat not added",173,"Food item: Beef, patties (meatballs) fried, fat not added","מזון: קציצות בשר בקר, מטוגנות, ללא שמן"
"בשר בקר מבושל עם אורז, רוטב עגבניות ושמן סויה","Beef, cooked with rice, tomato sauce, with soy oil",145,"Food item: Beef, cooked with rice, tomato sauce, with soy oil","מזון: בשר בקר מבושל עם אורז, רוטב עגבניות ושמן סויה"
"המבורגר קריספי צ'יקן קטן, בלחמניה, מקדונלדס","Chicken, hamburger, crispy, in  a roll, McDonald's ",206,"Food item: Chicken, hamburger, crispy, in  a roll, McDonald's","מזון: המבורגר קריספי צ'יקן קטן, בלחמניה, מקדונלדס"
"בשר עוף, חטיפים, מקנאגטס/צ'יקן מיקס, מקדונלדס","Chicken, nuggets, McDonald's",215,"Food item: Chicken, nuggets, McDonald's","מזון: בשר עוף, חטיפים, מקנאגטס/צ'יקן מיקס, מקדונלדס"
"המבורגר מק דג רויאל, בלחמניה, מקדונלדס","Fish sandwich, McDonald's",183,"Food item: Fish sandwich, McDonald's","מזון: המבורגר מק דג רויאל, בלחמניה, מקדונלדס"
"בשר כבש ועוף, מחמר, מסחאן של הגליל","Lamb and chicken, in pita, Machmar, musachkhan of the Galilee",398,"Food item: Lamb and chicken, in pita, Machmar, musachkhan of the Galilee","מזון: בשר כבש ועוף, מחמר, מסחאן של הגליל"
"קבב, מבשר הודו, ללא תוספת שמן","Turkey, kabob, fat not added",234,"Food item: Turkey, kabob, fat not added","מזון: קבב, מבשר הודו, ללא תוספת שמן"
"קציצות בשר הודו ועוף, מטוגנות, ללא תוספת שומן בבישול","Chicken and turkey, patties fried in soy oil",150,"Food item: Chicken and turkey, patties fried in soy oil","מזון: קציצות בשר הודו ועוף, מטוגנות, ללא תוספת שומן בבישול"
"קציצות בשר הודו, עם תפוחי אדמה, מטוגנות, בשמן קנולה","Turkey and potato,patties fried in canola oil",195,"Food item: Turkey and potato,patties fried in canola oil","מזון: קציצות בשר הודו, עם תפוחי אדמה, מטוגנות, בשמן קנולה"
"קציצות בשר הודו, מבושלות, עם רוטב עגבניות מרסק ללא שמן","Turkey patties, fried in tomato sauce (from paste) and soy oil",120,"Food item: Turkey patties, fried in tomato sauce (from paste) and soy oil","מזון: קציצות בשר הודו, מבושלות, עם רוטב עגבניות מרסק ללא שמן"
"קציצות בשר הודו ועוף, מבושלות, ללא רוטב","Chicken and turkey, patties, cooked",150,"Food item: Chicken and turkey, patties, cooked","מזון: קציצות בשר הודו ועוף, מבושלות, ללא רוטב"
"קציצות בשר הודו, מבושלות, ללא רוטב","Turkey, patties, cooked without oil",150,"Food item: Turkey, patties, cooked without oil","מזון: קציצות בשר הודו, מבושלות, ללא רוטב"
"קציצות בשר הודו, מטוגנות, ללא שמן","Turkey, patties, fried, fat not added",150,"Food item: Turkey, patties, fried, fat not added","מזון: קציצות בשר הודו, מטוגנות, ללא שמן"
"בשר עוף, מבושל, עם תפו""א ושמן סויה","Chicken, cooked with potato and soy oil",111,"Food item: Chicken, cooked with potato and soy oil","מזון: בשר עוף, מבושל, עם תפו""א ושמן סויה"
"בשר הודו, חזה ממולא עם אורז, צנוברים ושמן סויה","Turkey breast, filled with rice, pinenuts, and soy oil",209,"Food item: Turkey breast, filled with rice, pinenuts, and soy oil","מזון: בשר הודו, חזה ממולא עם אורז, צנוברים ושמן סויה"
"בשר הודו מבושל עם בצל, גזר, קישוא ושמן סויה","Turkey, cooked with onion, carrots, zucchini, and soy oil",99,"Food item: Turkey, cooked with onion, carrots, zucchini, and soy oil","מזון: בשר הודו מבושל עם בצל, גזר, קישוא ושמן סויה"
"בשר הודו, חזה, מוקפץ עם ירקות ושמן סויה בסגנון סיני ","Turkey, breast, stir-fried with vegetables and soy oil, Chinese style",116,"Food item: Turkey, breast, stir-fried with vegetables and soy oil, Chinese style","מזון: בשר הודו, חזה, מוקפץ עם ירקות ושמן סויה בסגנון סיני"
בשר הודו מטוגן עם תפוחי אדמה ובצל בשמן קנולה,"Turkey, fried with potatoes and onion in canola oil",265,"Food item: Turkey, fried with potatoes and onion in canola oil",מזון: בשר הודו מטוגן עם תפוחי אדמה ובצל בשמן קנולה
"בשר עוף, עם אורז וירקות ללא שמן","Chicken with rice and vegetables, no oil",102,"Food item: Chicken with rice and vegetables, no oil","מזון: בשר עוף, עם אורז וירקות ללא שמן"
"בשר עוף, מבושל, עם אורז גזר ושמן זית","Chicken, cooked with rice, carrots, and olive oil",142,"Food item: Chicken, cooked with rice, carrots, and olive oil","מזון: בשר עוף, מבושל, עם אורז גזר ושמן זית"
וואט עוף וביצים אתיופי,"Chicken and eggs, Wat, Ethiopian dish",158,"Food item: Chicken and eggs, Wat, Ethiopian dish",מזון: וואט עוף וביצים אתיופי
פאי עוף,"Pie, chicken",234,"Food item: Pie, chicken",מזון: פאי עוף
"בשר בקר, גולש, עם תפוחי אדמה, רוטב עגבניות ושמן סויה","Beef, goulash with potatoes, tomato sauce, with soy oil",118,"Food item: Beef, goulash with potatoes, tomato sauce, with soy oil","מזון: בשר בקר, גולש, עם תפוחי אדמה, רוטב עגבניות ושמן סויה"
"בשר בקר, גולש, עם תפוח אדמה, רוטב עגבניות ושמן זית","Beef, goulash with potatoes, tomato sauce, and olive oil",118,"Food item: Beef, goulash with potatoes, tomato sauce, and olive oil","מזון: בשר בקר, גולש, עם תפוח אדמה, רוטב עגבניות ושמן זית"
"בשר בקר מוקפץ עם גזר ופטריות בסגנון סיני, עם שמן סויה","Beef, stir-fried with carrots and mushrooms in soy oil, Chinese style",120,"Food item: Beef, stir-fried with carrots and mushrooms in soy oil, Chinese style","מזון: בשר בקר מוקפץ עם גזר ופטריות בסגנון סיני, עם שמן סויה"
"בשר עגל, מבושל, ברסק עגבניות עם שעועית ירוקה ושמן זית","Veal, cooked with green beans and tomato sauce, with olive oil",96,"Food item: Veal, cooked with green beans and tomato sauce, with olive oil","מזון: בשר עגל, מבושל, ברסק עגבניות עם שעועית ירוקה ושמן זית"
"אליצ'ה בקר אתיופי, עם שמן סויה","Aliche, beef with soy oil, Ethiopian dish",143,"Food item: Aliche, beef with soy oil, Ethiopian dish","מזון: אליצ'ה בקר אתיופי, עם שמן סויה"
ג'ינפילפיל בקר אתיופי עם שמן סויה,"Ginfilfil, beef with soy oil, Ethiopian dish",173,"Food item: Ginfilfil, beef with soy oil, Ethiopian dish",מזון: ג'ינפילפיל בקר אתיופי עם שמן סויה
"קציצות בשר בקר, אפויות, ברוטב טחינה","Beef, patties baked in tahini",190,"Food item: Beef, patties baked in tahini","מזון: קציצות בשר בקר, אפויות, ברוטב טחינה"
"בשר בקר, טחון, עם חלבון צמחי, לא מבושל, פרסבורגר","Beef, ground, with added vegetable protein, raw, Pressburger ",165,"Food item: Beef, ground, with added vegetable protein, raw, Pressburger","מזון: בשר בקר, טחון, עם חלבון צמחי, לא מבושל, פרסבורגר"
"קציצות בשר בקר, מוכנות, עוף טוב","Beef, patties, prepared,OfTov",182,"Food item: Beef, patties, prepared,OfTov","מזון: קציצות בשר בקר, מוכנות, עוף טוב"
"בשר בקר, טחון, מבושל","Beef, ground, cooked",288,"Food item: Beef, ground, cooked","מזון: בשר בקר, טחון, מבושל"
"כופתאות בשר בקר, ברוטב עגבניות, שישברק, מאכל ערבי","Beef, patties, in tomato sauce, shishbarak, Arab",212,"Food item: Beef, patties, in tomato sauce, shishbarak, Arab","מזון: כופתאות בשר בקר, ברוטב עגבניות, שישברק, מאכל ערבי"
מלוחיה מבושלת עם עוף ושמן זית,"Jewsmallow (melouchia), cooked with chicken and olive oil",162,"Food item: Jewsmallow (melouchia), cooked with chicken and olive oil",מזון: מלוחיה מבושלת עם עוף ושמן זית
מלוחיה מבושלת עם כבש ושמן תירס,"Jewsmallow (melouchia), cooked with lamb and corn oil ",138,"Food item: Jewsmallow (melouchia), cooked with lamb and corn oil",מזון: מלוחיה מבושלת עם כבש ושמן תירס
"סלט טונה בשמן עם ביצה, בצל, סלרי, תירס ומיונז","Fish, tuna in oil, salad with egg, onion, celery, corn, and mayonnaise",167,"Food item: Fish, tuna in oil, salad with egg, onion, celery, corn, and mayonnaise","מזון: סלט טונה בשמן עם ביצה, בצל, סלרי, תירס ומיונז"
"סלט טונה בשמן עם בצל, סלרי, מלפפון כבוש ומיונז","Fish, tuna in oil, salad, with onion, pickled cucumber, celery and mayonnaise",163,"Food item: Fish, tuna in oil, salad, with onion, pickled cucumber, celery and mayonnaise","מזון: סלט טונה בשמן עם בצל, סלרי, מלפפון כבוש ומיונז"
"סלט טונה בשמן עם בצל ירוק, מלפפון כבוש, סלרי,מיץ לימון","Fish, tuna, salad with green onion, pickles, celery and lemon juice",112,"Food item: Fish, tuna, salad with green onion, pickles, celery and lemon juice","מזון: סלט טונה בשמן עם בצל ירוק, מלפפון כבוש, סלרי,מיץ לימון"
"סלט טונה בשמן עם ביצה, בצל, מלפפון כבוש, סלרי ומיונז","Fish, tuna, salad with onion, celery, pickled cucumber, and mayonnaise",161,"Food item: Fish, tuna, salad with onion, celery, pickled cucumber, and mayonnaise","מזון: סלט טונה בשמן עם ביצה, בצל, מלפפון כבוש, סלרי ומיונז"
"סלט טונה עם עגבניה ופלפל, משימורי טונה במים, ללא תוספות","Fish, tuna, in water, salad with tomato and pepper",40,"Food item: Fish, tuna, in water, salad with tomato and pepper","מזון: סלט טונה עם עגבניה ופלפל, משימורי טונה במים, ללא תוספות"
"המבורגר ביג מק בלחמניה, מקדונלדס","Hamburger, Big Mac, McDonald's",181,"Food item: Hamburger, Big Mac, McDonald's","מזון: המבורגר ביג מק בלחמניה, מקדונלדס"
"המבורגר, מק רויאל/ג'וניור כל הטעמים, בלחמניה, מקדונלדס","Hamburger, MacRoyal, in roll, McDonald's",154,"Food item: Hamburger, MacRoyal, in roll, McDonald's","מזון: המבורגר, מק רויאל/ג'וניור כל הטעמים, בלחמניה, מקדונלדס"
"המבורגר, דאבל מק רויאל/ דאבל ג'וניור כל הטעמים, מקדונלדס","Hamburger, Double MacRoyal/double Junior, all flavors, McDonald's",160,"Food item: Hamburger, Double MacRoyal/double Junior, all flavors, McDonald's","מזון: המבורגר, דאבל מק רויאל/ דאבל ג'וניור כל הטעמים, מקדונלדס"
"קציצות בשר בקר ועוף, מטוגנות, ללא שמן","Beef and chicken, patties, fried without oil",156,"Food item: Beef and chicken, patties, fried without oil","מזון: קציצות בשר בקר ועוף, מטוגנות, ללא שמן"
"קציצות בשר בקר ועוף, מבושלות, ברוטב עגבניות מרסק ללא שמן","Beef and chicken, patties, cooked, with tomato sauce from paste, without oil",124,"Food item: Beef and chicken, patties, cooked, with tomato sauce from paste, without oil","מזון: קציצות בשר בקר ועוף, מבושלות, ברוטב עגבניות מרסק ללא שמן"
מרק בשר צלול,"Soup, beef, broth, bouillon, or consomme",7,"Food item: Soup, beef, broth, bouillon, or consomme",מזון: מרק בשר צלול
"מרק בשר עם שעועית ורסק עגבניות, ללא שמן","Soup, beef with beans and tomato paste, without oil",88,"Food item: Soup, beef with beans and tomato paste, without oil","מזון: מרק בשר עם שעועית ורסק עגבניות, ללא שמן"
מרק בשר עם תפוחי אדמה ועגבניות,"Soup, beef with potatoes and tomatoes",62,"Food item: Soup, beef with potatoes and tomatoes",מזון: מרק בשר עם תפוחי אדמה ועגבניות
"מרק בטעם עוף עם המון אטריות, נמס בכוס, מוכן מאבקה, קנור","Soup, chicken noodle, prepared from mix (instant, in cup), Knorr",52,"Food item: Soup, chicken noodle, prepared from mix (instant, in cup), Knorr","מזון: מרק בטעם עוף עם המון אטריות, נמס בכוס, מוכן מאבקה, קנור"
"מרק בטעם עוף, נמס בכוס, 10 קלוריות, מוכן מאבקה, קנור","Soup, chicken, energy-reduced, prepared from mix (instant, in cup), Knorr",5,"Food item: Soup, chicken, energy-reduced, prepared from mix (instant, in cup), Knorr","מזון: מרק בטעם עוף, נמס בכוס, 10 קלוריות, מוכן מאבקה, קנור"
"מרק עוף אמיתי, מוכן מאבקה, קנור","Soup, chicken, prepared from mix, Knorr",9,"Food item: Soup, chicken, prepared from mix, Knorr","מזון: מרק עוף אמיתי, מוכן מאבקה, קנור"
"מרק בטעם עוף, דגש פרווה, מוכן מאבקה, קנור","Soup, chicken flavor, vegetarian, prepared from mix, Knorr",9,"Food item: Soup, chicken flavor, vegetarian, prepared from mix, Knorr","מזון: מרק בטעם עוף, דגש פרווה, מוכן מאבקה, קנור"
"מרק עוף צח, כולל מוכן מאבקה","Soup, broth, chicken, including prepared from mix",6,"Food item: Soup, broth, chicken, including prepared from mix","מזון: מרק עוף צח, כולל מוכן מאבקה"
"מרק, מוכן מאבקת מרק עוף עם גזר, שמיר ופטרוזיליה","Soup, chicken, prepared from mix, with carrots, dill, and parsley",15,"Food item: Soup, chicken, prepared from mix, with carrots, dill, and parsley","מזון: מרק, מוכן מאבקת מרק עוף עם גזר, שמיר ופטרוזיליה"
"מרק בטעם עוף זך, פרווה, מוכן מאבקה, אסם","Soup, chicken flavor, vegetarian, prepared from mix, Osem",8,"Food item: Soup, chicken flavor, vegetarian, prepared from mix, Osem","מזון: מרק בטעם עוף זך, פרווה, מוכן מאבקה, אסם"
"מרק, מוכן מאבקת מרק עוף עם בצל ותפוחי אדמה","Soup, chicken, prepared from mix, with onions and potatoes",35,"Food item: Soup, chicken, prepared from mix, with onions and potatoes","מזון: מרק, מוכן מאבקת מרק עוף עם בצל ותפוחי אדמה"
"מרק, מוכן מאבקת מרק עוף עם כנפי עוף, בצל וגזר","Soup, chicken, prepared from powder, with chicken wings, onion, and carrot",61,"Food item: Soup, chicken, prepared from powder, with chicken wings, onion, and carrot","מזון: מרק, מוכן מאבקת מרק עוף עם כנפי עוף, בצל וגזר"
"מרק, מוכן מאבקת מרק עוף עם אטריות","Soup, chicken, prepared from powder, with noodles",79,"Food item: Soup, chicken, prepared from powder, with noodles","מזון: מרק, מוכן מאבקת מרק עוף עם אטריות"
מרק עוף בסגנון סיני עם תירס,"Soup, chicken, Asian style with corn",52,"Food item: Soup, chicken, Asian style with corn",מזון: מרק עוף בסגנון סיני עם תירס
"מרק עוף עם בשר עוף,  גזר, שורש סלרי, בצל ושמן קנולה","Soup, chicken with rice, carrots, celeriac, onion, and canola oil",50,"Food item: Soup, chicken with rice, carrots, celeriac, onion, and canola oil","מזון: מרק עוף עם בשר עוף,  גזר, שורש סלרי, בצל ושמן קנולה"
"מרק עוף עם עגבניות, תפוחי אדמה ובצל ","Soup, chicken, with tomatoes, potatoes, onions, Yemenite",64,"Food item: Soup, chicken, with tomatoes, potatoes, onions, Yemenite","מזון: מרק עוף עם עגבניות, תפוחי אדמה ובצל"
"מרק עוף עם בשר עוף, בצל, קישוא ותפוחי אדמה","Soup, chicken, with onion, zucchini, and potatoes",55,"Food item: Soup, chicken, with onion, zucchini, and potatoes","מזון: מרק עוף עם בשר עוף, בצל, קישוא ותפוחי אדמה"
"מרק עוף לקוסקוס עם עוף, ירקות ושמן סויה","Soup, chicken, for couscous, with chicken, vegetables, and soy oil",67,"Food item: Soup, chicken, for couscous, with chicken, vegetables, and soy oil","מזון: מרק עוף לקוסקוס עם עוף, ירקות ושמן סויה"
"מרק הודו עם בשר הודו,גזר ובצל","Soup, turkey, with carrots and onions",34,"Food item: Soup, turkey, with carrots and onions","מזון: מרק הודו עם בשר הודו,גזר ובצל"
מרק נקניקיות עם תפוחי אדמה,"Soup, sausages with potatoes",66,"Food item: Soup, sausages with potatoes",מזון: מרק נקניקיות עם תפוחי אדמה
"מרק זך בטעם עוף, פרווה, אבקה, אסם","Soup, chicken flavor, vegetarian, mix, Osem",267,"Food item: Soup, chicken flavor, vegetarian, mix, Osem","מזון: מרק זך בטעם עוף, פרווה, אבקה, אסם"
"מרק עוף, אבקה, אסם","Soup, chicken, powder, unprepared, Osem",317,"Food item: Soup, chicken, powder, unprepared, Osem","מזון: מרק עוף, אבקה, אסם"
"מרק בטעם עוף, דגש, אבקה, קנור","Soup, chicken flavor, powder, Knorr",283,"Food item: Soup, chicken flavor, powder, Knorr","מזון: מרק בטעם עוף, דגש, אבקה, קנור"
"מרק עוף,אבקה, קנור","Soup, chicken, powder, unprepared, Knorr",263,"Food item: Soup, chicken, powder, unprepared, Knorr","מזון: מרק עוף,אבקה, קנור"
"ג'לטין, אבקה יבשה","Gelatin, powder, unsweetened",335,"Food item: Gelatin, powder, unsweetened","מזון: ג'לטין, אבקה יבשה"
אבקת פולן מדבורים,"Bee pollen, powder",314,"Food item: Bee pollen, powder",מזון: אבקת פולן מדבורים
רוטב בולונז עם שמן זית,"Beef, bolognese sauce, with olive oil",86,"Food item: Beef, bolognese sauce, with olive oil",מזון: רוטב בולונז עם שמן זית
ביצה שלמה בלי קליפה,"Egg, whole, raw",143,"Food item: Egg, whole, raw",מזון: ביצה שלמה בלי קליפה
ביצה שלמה עם קליפה,"Egg, whole, raw, fresh",126,"Food item: Egg, whole, raw, fresh",מזון: ביצה שלמה עם קליפה
ביצה שלמה מיובשת,"Egg, whole, dried",605,"Food item: Egg, whole, dried",מזון: ביצה שלמה מיובשת
"ביצה קשה שלמה, ללא קליפה, עם מלח","Egg, hard-boiled,wihout shell, added salt",154,"Food item: Egg, hard-boiled,wihout shell, added salt","מזון: ביצה קשה שלמה, ללא קליפה, עם מלח"
"ביצה פלוס ,מועשרת באומגה 3, ללא קליפה","Egg, omega-3 enriched, without shell",135,"Food item: Egg, omega-3 enriched, without shell","מזון: ביצה פלוס ,מועשרת באומגה 3, ללא קליפה"
"ביצה רכה שלמה, ללא קליפה","Egg, whole, boiled or poached ",155,"Food item: Egg, whole, boiled or poached","מזון: ביצה רכה שלמה, ללא קליפה"
ביצה או חביתה מטוגנת בשמן סויה,"Egg or omelet, fried in soy oil",194,"Food item: Egg or omelet, fried in soy oil",מזון: ביצה או חביתה מטוגנת בשמן סויה
ביצה או חביתה מטוגנת במרגרינה,"Egg or omelet, fried in margarine",179,"Food item: Egg or omelet, fried in margarine",מזון: ביצה או חביתה מטוגנת במרגרינה
ביצה או חביתה מטוגנת בשמן חמניות,"Egg or omelet, fried in sunflower oil",194,"Food item: Egg or omelet, fried in sunflower oil",מזון: ביצה או חביתה מטוגנת בשמן חמניות
ביצה או חביתה מטוגנת בשמן זית,"Egg or omelet, fried in olive oil",194,"Food item: Egg or omelet, fried in olive oil",מזון: ביצה או חביתה מטוגנת בשמן זית
ביצה או חביתה מטוגנת בשמן תירס,"Egg or omelet, fried in corn oil",228,"Food item: Egg or omelet, fried in corn oil",מזון: ביצה או חביתה מטוגנת בשמן תירס
ביצה או חביתה מטוגנת בשמן קנולה,"Egg or omelet, fried in canola oil",193,"Food item: Egg or omelet, fried in canola oil",מזון: ביצה או חביתה מטוגנת בשמן קנולה
ביצה או חביתה מטוגנת ללא שמן,"Egg or omelet, fried without oil",162,"Food item: Egg or omelet, fried without oil",מזון: ביצה או חביתה מטוגנת ללא שמן
ביצה חלבון לא מבושל,"Egg, white only, raw",52,"Food item: Egg, white only, raw",מזון: ביצה חלבון לא מבושל
"ביצה חלבון מבושל, עם מלח","Egg, white, cooked, without salt",52,"Food item: Egg, white, cooked, without salt","מזון: ביצה חלבון מבושל, עם מלח"
ביצה חלבון מיובש,"Egg, white, dried",382,"Food item: Egg, white, dried",מזון: ביצה חלבון מיובש
ביצה חלמון מיובש,"Egg, yolk, dried",354,"Food item: Egg, yolk, dried",מזון: ביצה חלמון מיובש
ביצה חלמון לא מבושל,"Egg, yolk only, raw",322,"Food item: Egg, yolk only, raw",מזון: ביצה חלמון לא מבושל
"ביצה חלמון מבושל, עם מלח","Egg, yolk only, cooked, fat not added ",363,"Food item: Egg, yolk only, cooked, fat not added","מזון: ביצה חלמון מבושל, עם מלח"
"ביצה, תרנגול הודו","Egg, turkey, whole, fresh, raw",171,"Food item: Egg, turkey, whole, fresh, raw","מזון: ביצה, תרנגול הודו"
ביצה או חביתה עם חלב בשמן סויה,Egg or omelet with milk in soy oil,218,Food item: Egg or omelet with milk in soy oil,מזון: ביצה או חביתה עם חלב בשמן סויה
ביצה או חביתה עם פטריות גבינה צהובה חלב 3% ושמן סויה,"Egg or omelet with mushrooms, yellow cheese, milk and soy oil",199,"Food item: Egg or omelet with mushrooms, yellow cheese, milk and soy oil",מזון: ביצה או חביתה עם פטריות גבינה צהובה חלב 3% ושמן סויה
ביצה או חביתה עם נקניק פסטרמה מטוגן בשמן קנולה,Egg or omelet with pastrami fried in canola oil,185,Food item: Egg or omelet with pastrami fried in canola oil,מזון: ביצה או חביתה עם נקניק פסטרמה מטוגן בשמן קנולה
חביתת ירק עם שמן סויה,Egg or omelet with vegetables and soy oil,209,Food item: Egg or omelet with vegetables and soy oil,מזון: חביתת ירק עם שמן סויה
ביצה או חביתה עם פטריות גבינה צהובה חלב 3%  וחמאה,"Egg or omelet with mushrooms, yellow cheese, milk 3% fat and butter",189,"Food item: Egg or omelet with mushrooms, yellow cheese, milk 3% fat and butter",מזון: ביצה או חביתה עם פטריות גבינה צהובה חלב 3%  וחמאה
ביצה או חביתה עם פטריות וחלב 3% בשמן סויה,Egg or omelet with mushrooms in soy oil,179,Food item: Egg or omelet with mushrooms in soy oil,מזון: ביצה או חביתה עם פטריות וחלב 3% בשמן סויה
"ביצה, חביתה עם פטריות גבינה צהובה חלב 1% וחמאה","Egg or omelet with mushrooms, yellow cheese, milk 1% fat, and butter",181,"Food item: Egg or omelet with mushrooms, yellow cheese, milk 1% fat, and butter","מזון: ביצה, חביתה עם פטריות גבינה צהובה חלב 1% וחמאה"
שקשוקה בשמן סויה,Shakshuka in soy oil,101,Food item: Shakshuka in soy oil,מזון: שקשוקה בשמן סויה
שקשוקה בשמן זית,Shakshuka in olive oil,94,Food item: Shakshuka in olive oil,מזון: שקשוקה בשמן זית
שקשוקה ללא שמן,Shakshuka without oil,67,Food item: Shakshuka without oil,מזון: שקשוקה ללא שמן
שקשוקה בשמן קנולה,Shakshuka in canola oil,101,Food item: Shakshuka in canola oil,מזון: שקשוקה בשמן קנולה
"עוגיות קצף עם שוקולד, נשיקות","Cookies, meringue kisses  with chocolate, homemade",422,"Food item: Cookies, meringue kisses  with chocolate, homemade","מזון: עוגיות קצף עם שוקולד, נשיקות"
"עוגיות, נשיקות, מרנג ביתיות, אנג'ל","Cookies, meringue, Angel",290,"Food item: Cookies, meringue, Angel","מזון: עוגיות, נשיקות, מרנג ביתיות, אנג'ל"
"עוגיות קצף, נשיקות","Cookies, meringue kisses, homemade",306,"Food item: Cookies, meringue kisses, homemade","מזון: עוגיות קצף, נשיקות"
סלט ביצים עם מיונז,"Egg, salad with mayonnaise",205,"Food item: Egg, salad with mayonnaise",מזון: סלט ביצים עם מיונז
סלט ביצים עם בצל מטוגן בשמן סויה,"Egg, salad, with soy oil-fried onions",149,"Food item: Egg, salad, with soy oil-fried onions",מזון: סלט ביצים עם בצל מטוגן בשמן סויה
